Date ,Exercise
8/18/2021,Cardio 
8/19/2021,Full
8/20/2021,Stretch
8/21/2021,Bodyweight
8/22/2021,Full
8/23/2021,Cardio
8/24/2021,Full
8/25/2021,Cardio 
8/26/2021,Full
8/27/2021,Stretch
8/28/2021,Bodyweight
8/29/2021,Full
8/30/2021,Cardio
8/31/2021,Full
9/1/2021,Cardio 
9/2/2021,Full
9/3/2021,Stretch
9/4/2021,Bodyweight
9/5/2021,Full
9/6/2021,Cardio
9/7/2021,Full
9/8/2021,Cardio 
9/9/2021,Full
9/10/2021,Stretch
9/11/2021,Bodyweight
9/12/2021,Full
9/13/2021,Cardio
9/14/2021,Full
9/15/2021,Cardio 
9/16/2021,Full
9/17/2021,Stretch
9/18/2021,Bodyweight
9/19/2021,Full
9/20/2021,Cardio
9/21/2021,Full
9/22/2021,Cardio 
9/23/2021,Full
9/24/2021,Stretch
9/25/2021,Bodyweight
9/26/2021,Full
9/27/2021,Cardio
9/28/2021,Full
9/29/2021,Cardio 
9/30/2021,Full
10/1/2021,Stretch
10/2/2021,Bodyweight
10/3/2021,Full
10/4/2021,Cardio
10/5/2021,Full
10/6/2021,Cardio 
10/7/2021,Full
10/8/2021,Stretch
10/9/2021,Bodyweight
10/10/2021,Full
10/11/2021,Cardio
10/12/2021,Full
10/13/2021,Cardio 
10/14/2021,Full
10/15/2021,Stretch
10/16/2021,Bodyweight
10/17/2021,Full
10/18/2021,Cardio
10/19/2021,Full
10/20/2021,Cardio 
10/21/2021,Full
10/22/2021,Stretch
10/23/2021,Bodyweight
10/24/2021,Full
10/25/2021,Cardio
10/26/2021,Full
10/27/2021,Cardio 
10/28/2021,Full
10/29/2021,Stretch
10/30/2021,Bodyweight
10/31/2021,Full
11/1/2021,Cardio
11/2/2021,Full
11/3/2021,Cardio 
11/4/2021,Full
11/5/2021,Stretch
11/6/2021,Bodyweight
11/7/2021,Full
11/8/2021,Cardio
11/9/2021,Full
11/10/2021,Cardio 
11/11/2021,Full
11/12/2021,Stretch
11/13/2021,Bodyweight
11/14/2021,Full
11/15/2021,Cardio
11/16/2021,Full
11/17/2021,Cardio 
11/18/2021,Full
11/19/2021,Stretch
11/20/2021,Bodyweight
11/21/2021,Full
11/22/2021,Cardio
11/23/2021,Full
11/24/2021,Cardio 
11/25/2021,Full
11/26/2021,Stretch
11/27/2021,Bodyweight
11/28/2021,Full
11/29/2021,Cardio
11/30/2021,Full
12/1/2021,Cardio 
12/2/2021,Full
12/3/2021,Stretch
12/4/2021,Bodyweight
12/5/2021,Full
12/6/2021,Cardio
12/7/2021,Full
12/8/2021,Cardio 
12/9/2021,Full
12/10/2021,Stretch
12/11/2021,Bodyweight
12/12/2021,Full
12/13/2021,Cardio
12/14/2021,Full
12/15/2021,Cardio 
12/16/2021,Full
12/17/2021,Stretch
12/18/2021,Bodyweight
12/19/2021,Full
12/20/2021,Cardio
12/21/2021,Full
12/22/2021,Cardio 
12/23/2021,Full
12/24/2021,Stretch
12/25/2021,Bodyweight
12/26/2021,Full
12/27/2021,Cardio
12/28/2021,Full
12/29/2021,Cardio 
12/30/2021,Full
12/31/2021,Stretch
